0,1,2,3,4
Kab. Demak,Pendapatan Hibah,"11,25 M","11,04 M",98.16
Kab. Demak,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"127,92 M","0,07 M",0.05
Kab. Demak,Belanja Daerah,"2.449,63 M","2.488,53 M",101.59
Kab. Demak,Belanja Pegawai,"1.008,97 M","888,88 M",88.10
Kab. Demak,Belanja Pegawai,"1.008,97 M","888,88 M",88.10
Kab. Demak,Belanja Barang Jasa,"665,35 M","676,08 M",101.61
Kab. Demak,Belanja Barang dan Jasa,"665,35 M","676,08 M",101.61
Kab. Demak,Belanja Modal,"198,13 M","344,30 M",173.78
Kab. Demak,Belanja Modal,"198,13 M","344,30 M",173.78
Kab. Demak,Belanja Lainnya,"577,18 M","579,27 M",100.36
Kab. Demak,Belanja Hibah,"99,95 M","99,29 M",99.33
Kab. Demak,Belanja Bantuan Sosial,"32,34 M","39,51 M",122.18
Kab. Demak,Belanja Tidak Terduga,"5,00 M","0,00 M",0.00
Kab. Demak,Belanja Bagi Hasil,"19,58 M","19,32 M",98.65
Kab. Demak,Belanja Bantuan Keuangan,"420,31 M","421,16 M",100.20
Kab. Demak,Surplus/(Defisit),"-104,18 M","-85,86 M",82.41
Kab. Demak,Pembiayaan Daerah,"104,18 M","227,26 M",218.14
Kab. Demak,Penerimaan Pembiayaan Daerah,"119,18 M","242,26 M",203.27
Kab. Demak,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"119,18 M","242,26 M",203.27
Kab. Demak,Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00 M","0,00 M",0
Kab. Demak,Pengeluaran Pembiayaan Daerah,"15,00 M","15,00 M",100.00
Kab. Demak,Pembentukan Dana Cadangan,"0,00 M","0,00 M",0
Kab. Demak,Penyertaan Modal Daerah,"15,00 M","15,00 M",100.00
Kab. Grobogan,Pendapatan Daerah,"2.520,35 M","2.587,95 M",102.68
Kab. Grobogan,PAD,"349,22 M","424,06 M",121.43
Kab. Grobogan,Pajak Daerah,"116,01 M","140,15 M",120.81
Kab. Grobogan,Retribusi Daerah,"12,98 M","11,78 M",90.77
Kab. Grobogan,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"23,01 M","27,73 M",120.51
Kab. Grobogan,Lain-Lain PAD yang Sah,"197,22 M","244,40 M",123.92
Kab. Grobogan,TKDD *),"1.957,97 M","1.927,93 M",98.47
Kab. Grobogan,Pendapatan Transfer Pemerintah Pusat,"1.957,97 M","1.927,93 M",98.47
Kab. Grobogan,Pendapatan Lainnya,"213,16 M","235,95 M",110.69
Kab. Grobogan,Pendapatan Transfer Antar Daerah,"204,66 M","222,83 M",108.88
Kab. Grobogan,Pendapatan Hibah,"8,50 M","13,12 M",154.40
Kab. Grobogan,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
Kab. Grobogan,Belanja Daerah,"2.652,10 M","2.656,74 M",100.17
Kab. Grobogan,Belanja Pegawai,"961,89 M","903,77 M",93.96
Kab. Grobogan,Belanja Pegawai,"961,89 M","903,77 M",93.96
Kab. Grobogan,Belanja Barang Jasa,"724,90 M","709,14 M",97.83
Kab. Grobogan,Belanja Barang dan Jasa,"724,90 M","709,14 M",97.83
Kab. Grobogan,Belanja Modal,"377,09 M","462,21 M",122.57
Kab. Grobogan,Belanja Modal,"377,09 M","462,21 M",122.57
Kab. Grobogan,Belanja Lainnya,"588,22 M","581,62 M",98.88
Kab. Grobogan,Belanja Bunga,"3,09 M","1,61 M",52.21
Kab. Grobogan,Belanja Subsidi,"0,00 M","0,50 M",0
Kab. Grobogan,Belanja Hibah,"108,67 M","132,74 M",122.15
Kab. Grobogan,Belanja Bantuan Sosial,"21,67 M","17,83 M",82.27
Kab. Grobogan,Belanja Tidak Terduga,"25,86 M","0,15 M",0.57
Kab. Grobogan,Belanja Bagi Hasil,"12,90 M","13,58 M",105.28
Kab. Grobogan,Belanja Bantuan Keuangan,"416,03 M","415,21 M",99.80
Kab. Grobogan,Surplus/(Defisit),"-131,75 M","-68,79 M",52.21
Kab. Grobogan,Pembiayaan Daerah,"131,75 M","304,52 M",231.13
Kab. Grobogan,Penerimaan Pembiayaan Daerah,"175,00 M","347,77 M",198.72
Kab. Grobogan,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"60,00 M","236,13 M",393.55
Kab. Grobogan,Penerimaan Pinjaman Daerah,"115,00 M","111,64 M",97.08
Kab. Grobogan,Pengeluaran Pembiayaan Daerah,"43,25 M","43,25 M",100.00
Kab. Grobogan,Pembentukan Dana Cadangan,"25,00 M","25,00 M",100.00
Kab. Grobogan,Penyertaan Modal Daerah,"18,25 M","18,25 M",100.00
Kab. Jepara,Pendapatan Daerah,"2.414,98 M","2.327,13 M",96.36
Kab. Jepara,PAD,"490,01 M","427,73 M",87.29
Kab. Jepara,Pajak Daerah,"217,21 M","178,40 M",82.13
Kab. Jepara,Retribusi Daerah,"27,68 M","20,81 M",75.16
Kab. Jepara,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"13,33 M","12,92 M",96.97
Kab. Jepara,Lain-Lain PAD yang Sah,"231,79 M","215,61 M",93.02
Kab. Jepara,TKDD *),"1.731,48 M","1.679,44 M",96.99
Kab. Jepara,Pendapatan Transfer Pemerintah Pusat,"1.731,48 M","1.679,44 M",96.99
Kab. Jepara,Pendapatan Lainnya,"193,49 M","219,96 M",113.68
Kab. Jepara,Pendapatan Transfer Antar Daerah,"184,19 M","217,48 M",118.07
Kab. Jepara,Pendapatan Hibah,"9,30 M","2,48 M",26.67
Kab. Jepara,Belanja Daerah,"2.580,80 M","2.437,48 M",94.45
Kab. Jepara,Belanja Pegawai,"1.042,73 M","920,31 M",88.26
Kab. Jepara,Belanja Pegawai,"1.042,73 M","920,31 M",88.26
Kab. Jepara,Belanja Barang Jasa,"690,84 M","705,74 M",102.16
Kab. Jepara,Belanja Barang dan Jasa,"690,84 M","705,74 M",102.16
Kab. Jepara,Belanja Modal,"207,57 M","196,60 M",94.72
Kab. Jepara,Belanja Modal,"207,57 M","196,60 M",94.72
Kab. Jepara,Belanja Lainnya,"639,66 M","614,83 M",96.12
Kab. Jepara,Belanja Subsidi,"0,18 M","0,78 M",426.18
Kab. Jepara,Belanja Hibah,"117,52 M","113,20 M",96.33
Kab. Jepara,Belanja Bantuan Sosial,"54,24 M","56,89 M",104.88
Kab. Jepara,Belanja Tidak Terduga,"26,22 M","2,26 M",8.60
Kab. Jepara,Belanja Bagi Hasil,"24,13 M","23,82 M",98.73
Kab. Jepara,Belanja Bantuan Keuangan,"417,37 M","417,88 M",100.12
Kab. Jepara,Surplus/(Defisit),"-165,83 M","-110,35 M",66.54
Kab. Jepara,Pembiayaan Daerah,"165,83 M","269,19 M",162.33
Kab. Jepara,Penerimaan Pembiayaan Daerah,"190,83 M","269,19 M",141.07
Kab. Jepara,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"190,83 M","269,19 M",141.07
Kab. Jepara,Pengeluaran Pembiayaan Daerah,"25,00 M","0,00 M",0.00
Kab. Jepara,Pembentukan Dana Cadangan,"20,00 M","0,00 M",0.00
Kab. Jepara,Penyertaan Modal Daerah,"5,00 M","0,00 M",0.00
Kab. Karanganyar,Pendapatan Daerah,"2.109,04 M","2.251,87 M",106.77
Kab. Karanganyar,PAD,"377,81 M","511,72 M",135.45
Kab. Karanganyar,Pajak Daerah,"174,85 M","225,01 M",128.69
Kab. Karanganyar,Retribusi Daerah,"7,31 M","8,69 M",118.90
Kab. Karanganyar,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"13,97 M","18,10 M",129.50
Kab. Karanganyar,Lain-Lain PAD yang Sah,"181,67 M","259,93 M",143.07
Kab. Karanganyar,TKDD *),"1.591,09 M","1.541,93 M",96.91
Kab. Karanganyar,Pendapatan Transfer Pemerintah Pusat,"1.591,09 M","1.541,93 M",96.91
Kab. Karanganyar,Pendapatan Lainnya,"140,13 M","198,22 M",141.45
Kab. Karanganyar,Pendapatan Transfer Antar Daerah,"132,53 M","190,37 M",143.64
Kab. Karanganyar,Pendapatan Hibah,"7,60 M","7,84 M",103.17
Kab. Karanganyar,Belanja Daerah,"2.126,54 M","2.203,50 M",103.62
Kab. Karanganyar,Belanja Pegawai,"1.009,54 M","953,88 M",94.49
Kab. Karanganyar,Belanja Pegawai,"1.009,54 M","953,88 M",94.49
Kab. Karanganyar,Belanja Barang Jasa,"505,85 M","543,13 M",107.37
